id,meaning_id,lemma,morphology,ipa,definition
17,1,абду/бихв-и,/йихви,abdu/bixv-i,"мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узиб, -е; несов. очищаться; ихъаннидил нюхъбе абдудихва руки очищаются мылом; гал ццуцнаццил абдувихул дахъе уже мальчик долго очищался от колючек. || сов. абдубухи."
18,1,абду/бух-и,/юхи,abdu/bux-i,"мн. I-II (/ухи, /юхи; /духи), -е, -уб, -убзиб, -е; сов. очиститься; вачаг абдубухуб саб брюки очистились; абдубухубзиб мусса очистившееся место; улгам абдубухахъи бажил саб надо, чтобы шуба очистилась. ||несов. абдубихви."
19,1,абду/зи-б,-й,abdu/zi-b,"/жуб, /жуд), чистый; абдужуд палтар чистая одежда; абдужуб бикIате чистые дети; дила итти хьул абдузиб де намерение (желание) к тебе у меня было чистое."
20,1,абдудихь,"-лидил, -ла, абдудище",abdudix,чистота гьарбехамххали абдудихь бажил саб ежедневно для тела нужна чистота; ♦Абдудихь – чахла арадихь прим. чистота – здоровье тела.
21,1,абиккан/,"/агул, /агузиб, -и",abikkan/,"-и, /агул, /агузиб, -и; несов. огорчаться, обижать;абикканагужуд гъайслова, которые обидели; вагьла атта-абай бикIле абикканажихъи агага никогда нельзя обижать своих родителей; дила абикканагне дудил синце гьабилгвила я ему выскажу свое огорчение (обиду). || сов. абикканажи."
22,1,абиккан/аж-и,"/агул, /агузиб, -и",abikkan/aʒ-i,"-е, /агул, /агузиб, -и; сов. огорчиться; обидеть;дамми гьакал абикканагахъай меня сильно обидели;юлдашли абикканагахъи бажиладе не надо было огорчать друга; ила бакьутте дамми абикканагузибде твой поступок огорчил меня. || несов. абикканāжи."
23,1,абикканагала,"-лдил, -лла, абикканаглуме",abikkanagala,"обида; ццукьзибабикканагала глубокая обида; дила абикканагаламоя обида; ила абикканагалалдил ду паргъатаккватвакьайтвоя обида меня растревожила.Абиккан агагузив, инсан агага погов.тот, который не стыдится, человеком не станет.Абиккан агмагат! обращ. не обижайся! Абиккан ажид! собол. горестно, сочувствую горю. Абикканажид. Сини алжана биккаб! собол. очень огорчены случившимся. Пусть он окажется в раю."
24,1,абиччи/зи-б,айиччизий,abitʃtʃi/zi-b,"/жуб, адиччижуд) неприятный; абиччизиб хабарнеприятное известие; авиччизив инсан неприятный человек; адиччижуд пишне дакьисовершить неприятные поступки (проделки).Авиккузивли гьис мидизиб погов.нелюбимому послаще."
25,1,абла // абдикiнелла весенний; абла бе весенний день; абла палтар весенняя одежда; нуссадил биццизиб абла белжиб ккуц беквида мы съели вкусный хинкал в день весеннего равноденствия. ♦ абла ккуц обр. хинкал,,abla // abdikinella vesennij; abla be vesennij denʲ; abla paltar vesennjaja odeʒda; nussadil bitstsizib abla belʒib kkuts bekvida mɨ sʔeli vkusnɨj xinkal v denʲ vesennego ravnodenstvija. ♦ abla kkuts obr. xinkal,"абла бе весенний день; абла палтар весенняя одежда; нуссадил биццизиб абла белжиб ккуц беквида мы съели вкусный хинкал в день весеннего равноденствия. ♦ Абла ккуц обр. хинкал, приготовленный в день весеннего равноденствия (букв.хинкал весны)."
26,1,ав,"-лидил, -ла",av,ед.; вой; бицIла ав волчий вой; ккушшуд буцIалла ав каттикьулдебыл слышенвой голодных волков.
27,1,ав/бук,"-ай, -ул, -узиб, -е",av/buk,сов. и несов. выть; авбукIи бебидище начал выть; ккушзиб бицI авбукIай воет голодный волк.
28,1,авара // агвара,"-лдил, -лла",avara // agvara,"-те; возня, шум; дажаккважуд авара ненужная возня; авара дедище началась возня; нате няхIякьла авараде это была напрасная возня."
29,1,аваракква/зи-в,беззаботный,avarakkva/zi-v,"/жуб)беспечный, беззаботный; аваракквазив инсан беззаботный человек."
30,1,аваракквадихь,"-лидил, -ла, аваракквадище",avarakkvadix,"безразличие, равнодушие; ил аваракквадихьлиццила уццул сав он действует с безразличием (равнодушно); аваракквадихьле бакьутте хъямле ажи из-за безразличия дело завершилосьнеудачно."
31,1,аваракквал,безразлично,avarakkval,аваракквал хIирухи прожить беспечно; жагьилтаддил аваракквал гIюмру дидукIул саб молодежьживет беспечно. АВАРАХЪЛЕ нареч. галопом; аварахълебашихъипустить галопом; муттадил уче аварахъле гьайбакьай всадник пустил коня галопом.
32,1,август,"-лидил, -ла, ед. август",avgust,августла вахт августовское время; август сабагъе наступил август; ниссила щилццид августлижид ххял микъубе дикьу в нашем селе в августе играют много свадеб. АВГЪДЯШ числ. четыреста; агъвдяш къуруш четыреста рублей; цIижуд чаханте агъвдяш къурушли ассад новую обувь купил за четыреста рублей.
33,1,авдан/ба,/якьи,avdan/ba,"мн. I-II (/вакьи, /якьи; /дакьи), -ай, иб, -ибзиб, -а; сов. обогатить; гIячилдил авданвакьибзив разбогатевший своим трудом (работой); гьилал вахтижиб ариш-баришидил ххял уй авданбакьай в последнее время торговля обогатила много людей. || несов. авданбикьи."
34,1,авдан/би,/йикьи,avdan/bi,"мн. I-II (/викьи, /йикьи; /дикьи), -у, -ул, -узиб, -а; несов. обогащать; авдандихь гьарилли бажил саб богатство всем нужно. ♦ГIячилдил авданвикьекьу пог. труд (работа) не обогащает. || сов. авданбакьи."
35,2,авдан/би,/йихви,avdan/bi,"мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узиб, -е; несов. богатеть; уй авданбихул саблюди богатеют;дене авданвихви вевидище сосед начал богатеть. || сов. авданбухи."
36,1,авдан/бух-и,/ъюхи,avdan/bux-i,"мн. I-II (/ухи, /ъюхи; /духи), -е, -уб, -убзиб, -е; разбогатеть; сикIалли авданбухи биккул саб все хотят разбогатеть; шшанте авданбухале мискинзивлия уччикабахьаесли сельчане разбогатеют, бедному тоже перепадает; дунуппе авдабухуб чачIу бишлагьабикьул асаб разбогатев, соседи не считаютсяни с кем. || несов. авданбихви."
37,1,авданди,"-лидил, -ла, -ще",avdandi,"богатство, роскошь; улкалла авдандихь богатство страны; калхузалла вахтижиб ккулаккалла авдандихь квебеттайво время создания колхозову кулаков отняли богатство; савитI хIукумат букIул бихве, «ниссилла улкалла авдандихьла багьанте нуссада» «мы хозяева богатств нашей страны», декларировало советское государство."
38,1,ага,-й,aga,"/жуб, /жуд) запретный, непристойный, недозволенный; агагузиб гьаисказать непристойное; иддил агагужуд тяхIярте дакьай он поступил некрасиво (непристойно)."
39,1,агв-а,"-лдил, -лла, -не",agv-a,платье; цIизиб агва новое платье; агва чахи надеть платье; пIартIнихадил букьязиб агва бахи мастерица сшила красивое платье.Шяняш ляписла агва фольк. платье цвета ляписа.
40,1,агва-к,"-лидил, -ла",agva-k,агва-кIуззе; женская одежда (букв. платье-головная накидка); цIиквайла агва-кIаз одежда невесты; юссили гьегъедиччибжуд агва-кIазприданная одежда дочери.
41,1,агван/а,"/агул, /агузиб, -и",agvan/a,"-и, /агул, /агузиб, -и; несов. убирать; дехъв агванажи убирать хлев;бикIате чула сикIабха агванажихъи буссабикьи бажил саб надо приучать детей убирать свои вещи. || сов. агванажи."
42,1,агван/аж-и,"/агул, /агузиб, -и",agvan/aʒ-i,"-и, /агул, /агузиб, -и; сов. убрать, прибрать; бушагванажи убрать постель; агванагузиб хъал прибраннаякомната; вахтижиб ма агванажида вовремя убрали сено. || несов. агвана̄жи."
43,1,агвачан,"-нидил, -на, -те",agvatʃan,рубашка; найлунна агвачан нейлоновая рубашка; дулкьунзиб агвачан коричневая рубашка; агвачан чахи надеть рубашку; агвачанна дулкме духъинне сад рукава рубашки длинные.
44,1,агр-е,"-илдил, -илла",agr-e,"объем, величина; гIячилла агре величина работы; агре камбакьиуменьшитьобъем работы; е гIячилла агре гьабагъе гьасиб хиб величина (объем) этой работы достаточна. ĀГУ/ЗИ-Б (-в, -й; /жуб, /жуд);получающийся; успешный, разрешенный (по будущему результату); агузиб гIяче получающаяся работа; агужуд сикIабха дела, которые могут закончиться удачно; ду ишшу сякьилла агузиб вахтла я к тебе приду, как получится (букв. будет получаться)."
45,1,агузиб,-й,aguzib,"-жуб, -жуд); случившееся; агужуд тIама-гьама случившиеся события; пакле агузиб гIяче красиво получившаяся работа."
46,1,агъ,"-идил, -ла, -убе",aʁ,"погода; буцIезиб агъ жаркая погода; агъиже чивгьи смотреть на погоду; гьанишшила вахтла агъ буцIезиб бихва летняя погода бывает жаркой.♦ Агъиже чивгьузивла, ма дугъагъу погов. у наблюдающего (смотрящего) за погодой сено не сохнет.ГIюгъбугла агълиже, викIа галла хьайлиже гьатте виххи агузиб асаб погов. кубачинская погода также непредсказуема, как попа ребёнка. Агъла иццала мед. ревматизм (букв. болезнь погоды)."
47,1,агъв,,aʁv,"агъв инсан четыре человека; машиналиб агъв юссе бинкабжиб тибде в машине сидели четыре девушки. ♦Агъв сулалил ттабичибзиб агъвцIалла мулилта бидигъупосл.вышедшее сквозь четыре зуба доходит до сорока ртов (языков).Агъвле ухъ! прокл. чтобы подох. (букв. чтобы отнесли четверо, т.е. чтобы отнесли на носилках на кладбище)."
48,1,агъвдуссан,"-нидил, -на, -те",aʁvdussan,четырехлетка; агъвдуссан ус бык-четырехлетка; цIуттезиб агъвдуссан черная четырехлетка; агъвдуссан квибисай продали четырехлетку; агъвдуссан ус укалгу вибдагъай четырехлетку впрягли в телегу (арбу).
49,1,агъвдуссила // агъвдуссан,"-лдил, -лла",aʁvdussila // aʁvdussan,"агъвдуссанте; четырехлетний; агъвдуссила (агъв дус бухубзиб) ус четырехлетний бык; нуссаддил агъвдуссила кьюл ассада мы купили корову, которой исполнилось четыре года."
50,1,агъвжина,четыре раза,aʁvʒina,"четырежды, четыре раза; агъвжина сякьин четыре раза пришел; жагьиллидил агъвжина саибил мусса бусай юноша четырежды завоевал первое место. АГЪВИБИЛЛИЙ числ.; четвертый; агъвибиллий ккалас четвертый класс; ду агъвибиллий дус шагьарриццив хIирвихулда я живу в городечетвертый год."
51,1,агъвмуд/зиб,"квадратный, прямоугольный, четырехугольный",aʁvmud/zib,агъвмудзиб хъу квадратный огород; агъвмудзиб ккуц четырехугольный кусок ткани.Агъмуд дакку дараэ фольк. свернутый в квадрат шелк.Агъвла гIяшак вид кубачинского бронзового котла. Агъвмуд алхана квадратный (в  сечении) напильник. Агъвмуд гъюгъял бот. высохшая грубая трава.
52,1,агъвмудан,"-нидил, -на, -те",aʁvmudan,четырехугольник; дуруссиб агъвмудан правильный четырехугольник; чIулмаццила агъвмудан чукурбакьи собрать четырехугольник из спиц; учиникIле дурусле агъвмуданкабгайученик правильно нарисовал (начертил) четырехугольник. АГЪВЦIАЛ числ. сорок; агъвцIал бе сорок дней; туканчилдил агъвцIал митIир масла бисай продавец продал сорок метров материи.
53,1,агъвц,рел. поминки насорокой день (поминальный обряд сорока дней после смерти человека),aʁvts,агъвцIалелла бакьи провести поминки на сорок дней. АГЪВЦIАЛИБИЛ числ. сороковой; агъвцIалибил дус сороковой год; ниссила михъ бакьибжила агъвцIалибил дус дихул сад со дня нашей свадьбы проходит сороковой год.
54,2,агъвц,"-лдил, -лла",aʁvts,"агъвцIунбе; конструкция из полок (традиционная деревяная конструкция, смонтированная к стене каминной комнаты из 4-5 полок); китабталла агъвцIанна книжная полка; агъвцIанна бичи покрасить полку; агъвцIанал абадил мучIал чисабалчин мама сняла с полки водоносный сосуд; «агъвцIанна» агъв ццане гьаибзиб саб «агвцанна» буквально означает четыре полки."
55,1,агъу // агъру,"-лдил, -лла",aʁu // aʁru,яд; отрава; цIакьзиб агъу сильный яд; агъулдил инсан убчIихъу от яда человек умирает.
56,1,агъулла/зи-б,-й,aʁulla/zi-b,"/жуб, /жуд) агульский; агъуллазиб район агульский район; агъуллазий хьунул агулка; агъуллажуд ниссубе сикIаллидил гапдикьу все хвалят агульские сыры. АГЪУЛЛА1 агульский; агъулла ххюл агульский кунак; агъуллажуб шшанте агульцы; агъуллажуд гьунзбе биццижуд дихва агульские яблоки бывают вкусные."
57,1,агъулла,ядовитый,aʁulla,агъуллазиб буккин ядовитая еда; агъуллажуд гъай перен. ядовитые слова; жаниварридил агъуллазиб кьай тиксабикьу зверь отличает (не ест) ядовитую траву.
58,1,агъуллазиб,отравленный,aʁullazib,агъуллажуд кьай ядовитые травы; ид вибкIнилла багьна агъуллазиб буккинде причиной его смерти была отравленная пища.
59,1,агь,мой товарищ,ah,"агь дила юлдаш ой, мой товарищ; агь дила юлдаш, дахъе видахъаттикква ой, мой товарищ, надолго же ты потерялся. АГЬВАЙЛЕ нар. беззаботно; у агьвайле хIирвихулде ты живешь беззаботно. ♦ Агьвайле укIия либ фольк. сердце мое без забот."
60,1,агь-и,"-ун, -узиб, -ин",ah-i,"-ин, -ун, -узиб, -ин; сов. зажечь; цIа агьин зажечь огонь; агьунзиб цIалдил либил итIе биккве вспыхнувший огонь выжег весь стог. || несов. алгьи."
61,1,агьлу,"-лдил, -лла",ahlu,ед.; круг родственников; ниссила агьлу сали-са гьегъекабиццужуб саб наши родичи стоят друг за друга (помогают друг другу).Агьлу зябакь! прокл. чтобы сгинул род (букв. чтобы род испортился). Тухум-агьлулла уччиб нисса-тIулутI гIяхдихва погов. с родственниками лучше делить хлеб-сыр (смысл с родственниками трудно вести совместный бизнес).
62,1,адаб,"-лидил, -ла",adab,-те; совесть;ила адаб твоя совесть; инсанна адаб совесть человека; думки адаб хранить совесть; нате бакьуттилцциб ила адаб тибаккве в том поступке у тебя не было совести (ты поступил бесовестно).
63,1,адабдихь,"-лидил, -ла",adabdix,"адабдище; благородство, добропорядочность; ила адабдихь твое благородство; адабдихь дакIудакьи проявить благородство; идила адабдихьла хабар кIиная улдил гьалуга о его благородстве люди рассказывают до сих пор."
64,1,адабла/зи-б,-й,adabla/zi-b,"-жуб, -жуд), совестливый; добропорядочный; адаблазиб бакьутте хороший поступок; адаблажуб кулпат добропорядочная семья; адаблазив инсанна улдил хIюрматбикьу люди уважают совестливого человека."
65,1,адам-е,"-илдил, -илла, -те",adam-e,"1) мужчина; адамилдил гIяче бакьай мужчина выполнил поручение; 2) муж; жагьилзив адамемолодой муж. ♦Адамилла уцце деверь (букв. брат мужа). ♦Адамилла юцце золовка (букв. мужа сестра). ♦Адамилла хIюрмат бумккузий хьунул йихва погов. жена – хранительница авторитета мужа. Адаме угъул муж бранится (букв. муж стреляет). Адамилла бикIлижиб кьапIа чиббужихъузий, чикабичихъузий хьунул йихва погов.авторитет мужу создает жена (букв. удерживающая шапку мужа и заставляющая ее падать является жена)."
66,1,адаме-хьунул,"-лдил, -лла",adame-xunul,супруги; уччибжуб адме-хьунул подходящие супруги; адаме-хьунул хъилчи сачи; привести супругов в гости; михълижиб адаме-хьунул пакле бидигулде супруги красиво танцевали на свадьбе. АДАМИЛЛА мужской; адамилла някъ мужская рука; адамилла агвачан мужская рубашка. ♦Адамилла гъай са бихва погов. мужское слово бывает одно.
67,1,адамлугъ,"-лидил, -ла",adamluʁ,"ед.; мужественность, мужество; инсанна адамлугъ человеческое мужество; адамлугъ ттаагъи проявить мужество; илла бакьутте пиргерзиб адамлугъ саб его поступок – настоящее мужество."
68,1,адвакат,"-лидил, -ла",advakat,-е; адвокат; адвакатIлицце гьаи сообщить адвокату; адвакатI уси нанять адвоката; дамми удил адвакатIдище дикьмекьит не будь ты мне адвокатом.
69,1,адик,"-нидил, -на",adik,-те;  одеколон; адикIалунна квягI запах одеколона. Туканна адикIалун фольк. магазинный одеколон.
70,1,адихь,"-лдил, -ла",adix,"ед.; здоровье; хамхалла адихь здоровье тела; адихь бумкки беречь здоровье; гьар инсаннидил синна адихь бумкки бажил саб каждый человек должен беречь свое здоровье. Адихьлиццила лямдедухаб! благоп. здоровья (тебе), чтобы их запачкать! (обращение к женщинам, стирающим белье, белящим комнаты или занятых «генеральной» уборкой по дому). Адихьле (адихьиццила) бут! благоп. с обновой! (букв.чтобы износил (а) в добром здравии)."
71,1,ажа,"- дил, -ла",aʒa,ед.; тетя; ниссила ажа наша тетя; ажа яхьккви увидеть тетю; ниссила ажадил биццижуд хIялукуцце дикьу наша тетя готовит вкусные пироги.
72,1,ажай // ажей,"-лидил, -ла",aʒaj // aʒej,"ажайте; музыка; мотив, мелодия; паксиб ажай красивый мотив; хъумутатузиб ажай незабываемая мелодия; дамми гьакьал диччихъид талигуйла ажайте я очень люблю старинные мелодии. ♦Аскайла ажай танец воинов (обрядовый танец). ♦Запайла ажай танец «запай» (обрядовый танец). ♦КIвикIвилатла ажай парный танец (обрядовый танец). ♦Хабар хвасла ажай массовый танец (обрядовый танец верхнего квартала с. Кубачи). ♦ХIютIурра ажай массовый танец (обрядовый танец нижнего квартала с. Кубачи). ♦Дерхъла ажай танцевальный мотив (типа «лезгинки»). ♦ Хъючмалла ажай танец шутов (обрядовый танец, исполнявшийся после парного танца)."
73,1,аждагь-а,"-лдил, -илла, -не",aʒdah-a,"дракон, чудовище; цIалитIузиб аждагьа огненный дракон; хабарра аждагьа сказочный дракон; аждагьнажжила ххял хабурте лиджуд сад есть много сказок про драконов."
74,1,ажекква/зи-б,-й,aʒekkva/zi-b,"/жуб, /жуд) несуразный, безвкусный; ажекквазиб гъай несуразное слово; ажеккважуд пишне несуразные проделки; дитIибда ила ажеккважуд дакьутне надоели твои несуразные поступки."
75,1,аж-и,"-агул, -агузиб, -и",aʒ-i,"-и, -агул, -агузиб, -и; чтобы получилось, осуществилось, устроилось; гIяче ажи работа получилась; удил ажизиб гьаатте ты сказал о реальных вещах (об осуществимом).Агакквазиб бухадил! собол. не случилось бы такое."
76,1,ажикквазиб,-ла,aʒikkvazib,"-ажиккважуд; невозможное, небылица; тамашаллазиб ажикквазиб интересная небылица; ажиккважуд хабарте сказки; удил дам ажикквазиб хабар гьабилгвитте ты мне рассказал небылицу."
77,1,азат/си-б,-й,azat/si-b,"/щуб, /щуд), вольный, свободный; азатсив инсан свободный человек; азатщуд гIюмру свободная жизнь; азатщуб уй сали-са разил хIирбихва свободные люди живут в согласии между собой."
78,1,азатдихь,"-лидил, -ла",azatdix,"воля, свобода; ихIярзиб азатдихь желанная свобода; халкьли азатдихь биччи дать свободу народу; бинбукьунзиб ихликьянни азатдихь биккай запертую птицу выпустили из клетки (букв. дали свободу (волю)."
79,1,азатле,свободно,azatle,азатле хIирухи жить свободно; ниссила улкалла халкь азатле хIирбухул саб народ нашей страны живет свободно.
80,1,азбар,"-ридил, -ла, -те",azbar,двор; хвалазиб азбар большой двор; азбарре каттагъи поставить во дворе; ниссила ххюлла машина азбарре каттагъай машину нашего гостя поставили во дворе.
81,1,азбука,"-лдил, -лла, -бе",azbuka,азбука; цIизиб азбука новая азбука; азбука калучIи читать азбуку; ушкуллиб бикIате азбука калучIи буссабихул саб дети в школе учатся читать азбуку.
82,1,азгъин,"-нидил, -на",azʁin,те; лентяй; азгъин гал мальчик-лентяй; азгъинна хасият характер лентяя. ♦ Азгъинна хъу духъахъу погов .поле лентяя не плодоносит (не дает урожая).
83,1,азгъин/бихв-и,/йихви,azʁin/bixv-i,"мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узиб, -е; несов. лениться; гал азгъинвихви вевидище сынначал лениться; гIяче азгъинвихул ттабидадагъайне выполнил работу из-за лени; гал азгъин вихехвихъи айчивицци бажил асаб нельзя допускать, чтобы ребенок приучился к лени. || сов. азгъинбухи."
84,1,азгъин/бух-и,/юхи,azʁin/bux-i,"мн. I-II (/ухи, /юхи; /духи), -е, -уб, -убзиб, -е; сов. облениться; азгъинухубзив шагир обленившийся подмастерье; азгъинухуб гIяче бакьакьай поленившись, не сделалработу; ахъицци азгъинухуб гал ушкулле кьанухе поленившийся вовремя встать мальчик опоздал в школу. || несов. азгъинбихви."
85,1,азгъин/зи-б,-й,azʁin/zi-b,"/жуб, /жуд), ленивый; азгъинзив инсан ленивый человек; азгъинзий юссе ленивая девочка; азгъинжуб улдил гIяче гIяхле бикьекьу ленивые люди не могут хорошо работать."
86,1,азгъиндихь,"-лидил, -ла",azʁindix,азгъиндище; лень; азгъиндихьла хабар молва о лени; азгъиндихь багьнал гал уста ажи ухахе из-за лени сын не смог стать мастером. Азгъиндихь квибзив инсанна бикIахъут гьадабихва погов. у ленивого человека не вырастет благосостояние. АЗИ числ. тысяча; ази инсан тысяча человек; ил агузиб саб чум ази дустал это случилось несколько тысяч лет тому назад.Ази дикIанна чах фольк. тело из тысячи членов.Ази хъалла шше фольк. село в тысячи дворов.  Ази мудалла тталила фольк. очень далеко (букв. место за тысячу вершин).
87,1,ази-б,-й,azi-b,"ажуб, ажуд) большой, огромный, громадный; азиб ше громадная скала; азиб гужла мюшюркья всесильный борец; акIвле ажуд къакъа какъай река принесла большие камни."
88,1,азия,-лдил,azija,-лла; ед.;1. материк Азия; 2. разг. территория республик Средней Азии (при СССР); азиялла уй отходники-кубачинцы (живущие в республиках Средней Азии); азиялццил сабагъибжуб приехавшие из республик Средней Азии.
89,1,ай,парни,aj,"ай гуле эй, парни; ай шшанте, лявидакIа хабарри эй, жители, послушайте новость."
90,1,айиккана,"-дил, -ла",ajikkana,ед; нелюбимая; айиккана кежи жениться на нелюбимой.
91,1,айлахъ,"-лидил, -ла, айлакъе",ajlaq,"1) растяпа, зевака, разиня; хвалазив айлахъ большой растяпа; айлахъ мимивакьи поругать растяпу; айлахъ бусалла бе кеххул каттилжин растяпа прогулял целый день; 2) бездельник; гьаманзив айлахъ вечный бездельник; айлахъ гьиссилли къаттав ляквиццул вихва бездельник обычно торчит на улице."
92,1,айту,"-дил, -ла",ajtu,ед.; поговорка; аттала-атналла айту поговорка предков; айту къумухъ гъай саб «айту» слово кумыкское.
93,1,айчи/би,/йицци,ajtʃi/bi,"мн. I-II (/вицци, /йицци; /дицци), -у, -ул, узиб, -и; несов. заботиться, ухаживать, присматривать; абай айчийиццузий юссе заботящаяся о маме дочка; гIяхле айчибицци хорошо ухаживать; ид гIяхле атта-абай айчивиццул сав он хорошо ухаживает (присматривает) за родителями. || сов. айчибицци́."
94,1,айчи/бицц-и,/йицци,ajtʃi/bitsts-i,"мн. I-II (/вицци, /йицци;/дицци), -е, -ул, -узив, -е; сов. поухаживать, позаботиться, присмотреть; айчивицци хIяйвантадди присмотреть за животными; бикIатадди айчивицци поухаживать за детьми; талал цIа бяххяхяхъи айчибиццул бужиб саб раньше присматривали за огнем, чтобы он не потух. || несов. айчибӣцци."
95,1,айчиби,айчийиццузий,ajtʃibi,"айчибиццужуб); заботящийся, присматривающий, дежурный; ккалассла айчивиццузив дежурный класса; ушккулли айчибиццужуб охранники школы; нусса иял айчидиццужудда сегодня мы дежурные."
96,1,айят,"-ла, -те",ajjat,стих Корана; эбзиб айят ценный(очень почитаемый) стих Корана; айят укIилжиб бахи выучить наизустьстих Корана; кьадидил ххял айяте каттилчIин кадий прочитал много стихов Корана.
97,1,ак,"-идил, -ла",ak,"-убе; река; акIвла ччиме мост через реку; тIамалла акIв шумная река; акIвижил чивидухъи перейти реку; къаттакатталла кабхъун саб хвалазиб акIв по ущелью течет бурная (большая) река. ♦ Гьалаксиб акIв ухьнацце кадабигъу погов. быстрая река не доходит до моря.Ула учиже муттавигале, баг акIвлижив лакIчикикьу посл. сядешь на чужого коня, посреди реки сбросит. ХIямран акIв фольк. гамринская река (от с. Гамри Сергокалинского района РД).Гьихъле какьюнзиб акIвла тIама паксиб бихва погов. шум далёкой реки кажется красивым."
98,1,акбар,"-ридил, -ла",akbar,"-те; призыв к молитве; дярхилла акбар призыв к вечерней молитве; акбар кабилчIи призвать верующих к молитве; ирилла акбар кабилчIунмале, атта мишита видажи как призвали к полуденной молитве, отец ушел в мечеть."
